_id,Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
2556,18092,343,Ball Diamond,sport,Baseball Diamond Field - B,B,RIVERDALE PARK EAST - Ball Diamond Field (  1)
2557,18093,343,Ball Diamond,sport,Baseball Diamond Field - B,B,RIVERDALE PARK EAST - Ball Diamond Field (  2)
2558,18173,343,Multipurpose Field,None,Multipurpose Field - B,B,RIVERDALE PARK EAST - Multipurpose Field (  1)
2559,18174,343,Multipurpose Field,None,Multipurpose Field - B,B,RIVERDALE PARK EAST - Multipurpose Field (  2)
2560,18175,343,Multipurpose Field,None,Multipurpose Field - B,B,RIVERDALE PARK EAST - Multipurpose Field (  3)
2561,23776,343,Bike Trail,None,Bike Trail,None,RIVERDALE PARK EAST TRAIL (  1)
2562,28339,343,Picnic Site,picnic,Picnic Site,None,RIVERDALE PARK EAST - Picnic Site (  1)
2563,29612,343,Fieldhouse,None,Fieldhouse,None,RIVERDALE PARK EAST - Fieldhouse
2564,29612,343,Washroom Facility,None,Washroom Building,None,RIVERDALE PARK EAST - Fieldhouse
2565,33886,343,Playground,None,Playground Site,None,RIVERDALE PARK EAST - Playground
2566,36783,343,Dogs Off-Leash Area,None,Off Leash Area,None,RIVERDALE PARK EAST - Off Leash Area
2567,48445,343,Multipurpose Room,room,Room - B,B,RIVERDALE PARK OUTDOOR POOL BUILDING - Multipurpose Room
2568,49594,343,Picnic Site,picnic,Picnic Site,None,RIVERDALE PARK EAST - Picnic Site (  2)
2569,49747,343,Outdoor Table Tennis,None,Outdoor Table Tennis,None,RIVERDALE PARK EAST - Outdoor Table Tennis (  1)
2570,49748,343,Outdoor Table Tennis,None,Outdoor Table Tennis,None,RIVERDALE PARK EAST - Outdoor Table Tennis (  2)
2571,71802,343,Outdoor Rink,ice,Outdoor Ice Pad,None,RIVERDALE PARK EAST - Outdoor Ice Pad
2572,71803,343,Skate Trail,None,Skate Trail,None,RIVERDALE PARK EAST - Skate Trail
2573,72369,343,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,RIVERDALE PARK EAST - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  1)
2574,72370,343,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,RIVERDALE PARK EAST - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  2)
2575,72371,343,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,RIVERDALE PARK EAST - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  3)
2576,72372,343,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,RIVERDALE PARK EAST - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  4)
2577,72373,343,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,RIVERDALE PARK EAST - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  5)
2578,72374,343,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,RIVERDALE PARK EAST - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  6)
2579,76322,343,Outdoor Table Tennis,None,Outdoor Table Tennis,None,RIVERDALE PARK EAST - Outdoor Table Tennis (  3)
2580,76323,343,Outdoor Table Tennis,None,Outdoor Table Tennis,None,RIVERDALE PARK EAST - Outdoor Table Tennis (  4)
2581,102098,343,Bottle Filling Station,None,Water Bottle Filling Count,None,RIVERDALE PARK EAST - Drinking Water Source (  2)
2582,102163,343,Drinking Fountain,None,Drinking Fountain Count,None,RIVERDALE PARK EAST - Drinking Water Source (  3)
2583,132560,343,Bottle Filling Station,None,Water Bottle Filling Count,None,RIVERDALE PARK EAST - Drinking Water Source (  4)
2584,850004,343,Parking Lot,None,Outdoor Parking Lot,None,RIVERDALE PARK EAST - Outdoor Parking Lot
2585,2665,344,Drinking Fountain,None,Drinking Fountain Count,None,RIVERDALE PARK WEST - Drinking Water Source (  1)
2586,5395,344,Wading Pool,None,Wading Pool,None,RIVERDALE PARK WEST - Wading Pool
2587,18225,344,Ball Diamond,sport,Baseball Diamond Field - B,B,RIVERDALE PARK WEST - Ball Diamond Field (  2)
2588,18226,344,Ball Diamond,sport,Baseball Diamond Field - A,A,RIVERDALE PARK WEST - Ball Diamond Field (  3)
2589,18227,344,Ball Diamond,sport,Baseball Diamond Field - B,B,RIVERDALE PARK WEST - Ball Diamond Field (  4)
2590,18543,344,Dogs Off-Leash Area,None,Off Leash Area,None,RIVERDALE PARK WEST - Off Leash Area
2591,23781,344,Bike Trail,None,Bike Trail,None,RIVERDALE PARK WEST TRAIL ( 14)
2592,23782,344,Bike Trail,None,Bike Trail,None,RIVERDALE PARK WEST TRAIL ( 13)
